title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher,year
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,9/5/2003,Houghton Mifflin Harcourt,2003
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,en-US,1216,1618,10/1/2002,Houghton Mifflin Harcourt,2002
The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,eng,218,19822,11/5/2003,Houghton Mifflin Harcourt,2003
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,11/15/2004,Houghton Mifflin Harcourt,2004
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,eng,558,1430,7/28/2005,Pragmatic Bookshelf,2005
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,2000
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.0,eng,48,36,8/28/1994,Teacher Created Resources,1994
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,1/23/2001,Delacorte Press,2001
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,6,6/10/2003,Cherry Lane Music Company,2003
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,11/1/2005,The New Press,2005
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,eng,304,167,11/1/2005,Changeling Press,2005
Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,8/17/2006,Viking Juvenile,2006
The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,4/14/2003,Firebird,2003
The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,6/8/2004,iUniverse,2004
The Changeling,Kate Horsley,3.55,eng,339,301,4/12/2005,Shambhala,2005
The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,8/28/1990,Ivy Books,1990
The Known World,Edward P. Jones,3.83,eng,388,29686,8/29/2006,Amistad,2006
The Known World,Edward P. Jones,3.83,en-US,14,55,6/15/2004,HarperAudio,2004
The Known World,Edward P. Jones,3.83,eng,576,22,6/15/2004,Harper,2004
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,5/15/2006,FT Press,2006
Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,12/14/2005,Archaia,2005
The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,eng,416,562,6/1/1982,Farrar  Straus and Giroux,1982
Uncommon Carriers,John McPhee,3.95,en-US,248,1630,5/16/2006,Farrar Straus Giroux,2006
Heirs of General Practice,John McPhee,4.17,eng,128,268,4/1/1986,Farrar  Straus and Giroux,1986
The Control of Nature,John McPhee,4.24,en-US,288,3498,9/1/1990,Farrar  Straus and Giroux,1990
Annals of the Former World,John McPhee,4.34,eng,720,3115,1/6/1999,Farrar  Straus and Giroux,1999
Coming Into the Country,John McPhee,4.22,eng,448,5704,4/1/1991,Farrar  Straus and Giroux,1991
La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,4/1/1994,Farrar  Straus and Giroux,1994
Giving Good Weight,John McPhee,4.23,eng,288,542,4/1/1994,Farrar  Straus and Giroux,1994
Rising from the Plains,John McPhee,4.23,eng,208,1341,11/1/1987,Farrar  Straus and Giroux,1987
The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,3/1/2002,Dramatists Play Service,2002
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,7/2/1991,Vintage,1991
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,3/29/2006,Routledge,2006
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,62,3/14/2006,North Light Books,2006
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,eng,192,860,9/1/2003,Chosen Books,2003
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,1/28/1997,Association for Supervision & Curriculum Development,1997
Heidi (Heidi  #1-2),Johanna Spyri,3.99,eng,352,153317,11/15/2002,Kingfisher,2002
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,11/15/2004,ASCD,2004
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,eng,192,34,4/28/2003,Sovereign World,2003
What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,eng,832,11797,10/16/2003,Workman Publishing Company,2003
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,eng,123,34,5/10/2004,One Hour Entertainment,2004
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,8/19/2004,North Light Books,2004
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,6/15/1987,Ace Books,1987
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,7/1/1987,Ace Books,1987
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,7/15/1987,Ace Books,1987
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,784,7/1/2004,Tor Books,2004
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,4/16/1984,Putnam,1984
The Road to Dune,Frank Herbert,3.88,eng,426,4789,8/29/2006,Tor Science Fiction,2006
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,8/15/1987,Ace Books,1987
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,6/12/2002,Houghton Mifflin Harcourt,2002
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,69167,9/29/1996,Ballantine Books,1996
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,9/13/2005,Delacorte Books for Young Readers,2005
The Power of One: One Person  One Rule  One Month,John C. Maxwell,4.28,en-US,256,16,11/1/2004,Thomas Nelson,2004
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,5/19/2006,Wiley,2006
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,10,2/7/2000,Heinemann Drama,2000
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,5/3/2005,William Morrow Paperbacks,2005
eBay for Dummies,Marsha Collier,3.5,eng,386,111,10/30/2006,Wiley,2006
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,eng,260,24,1/24/2006,McGraw-Hill,2006
Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,9/17/2004,Wiley,2004
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,6/6/2006,Wiley,2006
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,22,5/31/2004,Wiley,2004
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,17,4/25/2005,Wiley,2005
Ruby Cookbook,Lucas Carlson,3.84,eng,873,166,7/29/2006,O'Reilly Media,2006
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5/3/2005,Citadel,2005
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,5/3/2005,Citadel,2005
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1/1/2007,O'Reilly Media,2007
Anna Karenina,Leo Tolstoy,4.05,eng,838,16643,5/31/2004,Penguin Classics,2004
Anna Karenina,Leo Tolstoy,4.05,eng,960,109420,11/5/2002,Signet,2002
Anna Karenina,Leo Tolstoy,4.05,eng,837,2904,1/30/2003,Penguin Books,2003
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,eng,80,16,11/26/1965,Cliffs Notes,1965
Anna Karenina,Leo Tolstoy,4.05,eng,803,9564,7/1/2003,Barnes & Noble Classics,2003
Anna Karenina,Leo Tolstoy,4.05,eng,752,474,11/23/2004,Dover Publications,2004
Anna Karenina,Leo Tolstoy,4.05,eng,803,303,8/26/2004,Barnes & Noble,2004
Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,1/28/2006,Mira Books,2006
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,11/26/1987,Cambridge University Press,1987
Untouchable,Mulk Raj Anand,3.71,eng,160,3429,7/3/1990,Penguin Books,1990
The Untouchable,John Banville,3.95,eng,367,2163,6/30/1998,Vintage,1998
The Untouchables,Eliot Ness,3.89,eng,256,613,2/1/1996,Buccaneer Books,1996
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,308,9/27/2005,Scribner,2005
Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.2,eng,100,10,1/28/1995,Clarity Press,1995
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,eng,224,16,12/20/2000,Rowman & Littlefield Publishers,2000
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,9/22/2003,Pearson,2003
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.0,eng,48,17,9/28/1991,Teacher Created Resources,1991
Wrinkles in Time,George Smoot,4.01,eng,360,1035,10/1/1994,Harper Perennial,1994
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,eng,250,36,5/1/2002,EMC/Paradigm Publishing,2002
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,1/1/2002,Teaching Resources,2002
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,spa,205,6,6/1/1984,Turtleback Books,1984
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,376,6/1/1994,Little  Brown Book Group,1994
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,3086,1/3/2006,William Morrow,2006
Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.94,en-US,320,352,11/1/2005,Atria Books,2005
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,9852,3/7/2006,Tor Books,2006
New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.9,eng,244,821,8/10/2004,Vintage Crime/Black Lizard,2004
Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.05,eng,215,731,3/8/2005,Vintage Crime/Black Lizard,2005
Miami Blues (Hoke Moseley #1),Charles Willeford,3.94,eng,191,2897,8/10/2004,Vintage Crime/Black Lizard,2004
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,98,10/3/1990,Vintage,1990
I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,20888,8/30/2005,Picador USA,2005
Poetry for Young People: Edward Lear,Edward Lear,3.91,eng,48,66,10/1/2001,Sterling,2001
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,81,10/3/1996,Puffin,1996
Henry Miller on Writing,Henry Miller,4.22,eng,217,981,2/1/1964,New Directions Publishing,1964
Quiet Days in Clichy,Henry Miller,3.69,eng,154,3381,1/13/1994,Grove Press,1994
Tropic of Cancer,Henry Miller,3.68,eng,318,53206,1/6/1994,Grove Press,1994
Tropic of Capricorn,Henry Miller,3.78,eng,348,14872,1/13/1994,Grove Press,1994
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,3261,1/13/1994,Grove Press,1994
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,7805,1/12/1994,Grove Press,1994
The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,2699,1/17/1970,New Directions,1970
The Portrait of a Lady,Henry James,3.78,eng,797,61640,9/30/2003,Penguin Classics,2003
The Portrait of a Lady,Henry James,3.78,eng,635,392,1/16/2004,Barnes  Noble Classics,2004
Writing,Marguerite Duras,3.75,eng,91,778,5/6/1999,Brookline Books,1999
The War,Marguerite Duras,3.85,eng,192,963,8/1/1994,The New Press,1994
The Ravishing of Lol Stein,Marguerite Duras,3.66,en-US,181,2057,3/12/1986,Pantheon,1986
Love Letters,Kahlil Gibran,3.68,eng,178,203,7/1/1999,One World (UK),1999
Kahlil Gibran: His Life and World,Jean Gibran,4.21,eng,464,35,4/1/1998,Interlink Publishing Group,1998
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19,eng,102,328,1/1/1998,Penguin Books,1998
Jesus the Son of Man,Kahlil Gibran,3.98,eng,216,1308,2/21/1995,Knopf,1995
The Broken Wings,Kahlil Gibran,3.92,eng,132,6432,3/3/2003,Citadel,2003
Sand and Foam,Kahlil Gibran,4.08,eng,100,3015,6/14/2011,Knopf,2011
Treasure Island,Robert Louis Stevenson,3.83,eng,311,318753,9/15/2001,Kingfisher,2001
Treasure Island,Robert Louis Stevenson,3.83,en-US,213,420,10/1/2004,Sterling Children's Books,2004
Treasure Island,Robert Louis Stevenson,3.83,eng,245,5967,6/1/2005,Simon & Schuster,2005
Treasure Island,Robert Louis Stevenson,3.83,eng,64,104,7/1/2003,Atheneum Books for Young Readers,2003
Treasure Island,Robert Louis Stevenson,3.83,en-US,272,56,9/3/2002,Gramercy Books,2002
Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05,eng,232,91,1/31/2006,Abdo Publishing Company,2006
100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270,88,11/22/1996,Black Classic Press,1996
Cien años de soledad,Gabriel García Márquez,4.07,spa,448,63,1/1/1990,French & European,1990
On Beyond Zebra!,Dr. Seuss,4.04,eng,64,2815,9/12/1955,Random House Books for Young Readers,1955
The Wedding Clause,Debbie Raleigh,3.6,eng,256,95,6/7/2005,Zebra,2005
The Zebra Wall,Kevin Henkes,3.44,eng,147,217,2/15/2005,Greenwillow Books,2005
El perfume: Historia de un asesino,Patrick Süskind,4.02,spa,239,4136,6/1/2002,Booket,2002
The Door Into Summer,Robert A. Heinlein,4.01,eng,304,17232,6/17/1997,Del Rey,1997
Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,251872,10/1/1991,Ace,1991
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,en-US,434,10293,6/1/1988,Ace Books,1988
Job: A Comedy of Justice,Robert A. Heinlein,3.78,en-US,439,15970,10/12/1985,Del Rey,1985
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256,6898,8/8/2006,Tor Books,2006
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,en-US,307,67803,2/15/1991,Pocket Books,1991
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298,22091,4/26/2005,Del Rey,2005
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368,2623,12/27/2005,Del Rey,2005
Douglas Adams's Starship Titanic,Terry Jones,3.6,eng,256,885,10/27/1998,Ballantine Books,1998
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93,eng,336,5,7/1/2003,Turtleback Books,2003
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus,4.13,eng,72,100,1/12/2011,Samuel French  Inc.,2011
On Bullshit,Harry G. Frankfurt,3.57,eng,67,9358,1/30/2005,Princeton University Press,2005
Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,9318,9/12/2005,W. W. Norton & Company,2005
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,en-US,317,120,6/12/1993,Simon & Schuster,1993
The Gettysburg Address,Abraham Lincoln,4.53,eng,32,5239,2/2/1998,HMH Books for Young Readers,1998
Underworld,Don DeLillo,3.92,eng,827,1505,7/9/1998,Scribner,1998
Libra,Don DeLillo,3.99,eng,480,11857,5/1/1991,Penguin,1991
Americana,Don DeLillo,3.43,eng,377,393,7/6/1989,Penguin Books,1989
Running Dog,Don DeLillo,3.43,eng,256,1356,7/17/1989,Vintage Contemporaries,1989
Cosmopolis,Don DeLillo,3.22,eng,224,460,4/6/2004,Scribner,2004
Great Jones Street,Don DeLillo,3.48,eng,272,2492,1/1/1994,Penguin Books,1994
The Names,Don DeLillo,3.64,eng,339,3100,7/17/1989,Vintage,1989
Against the Day,Thomas Pynchon,4.13,eng,1085,5296,11/21/2006,Penguin Press,2006
V.,Thomas Pynchon,3.96,eng,547,1415,7/5/2005,Harper Perennial Modern Classics,2005
The Crying of Lot 49,Thomas Pynchon,3.69,eng,152,2161,4/1/1999,Harper Perennial,1999
Gravity's Rainbow,Thomas Pynchon,4.01,eng,784,762,1/1/2000,Penguin Books,2000
Mason & Dixon,Thomas Pynchon,4.07,eng,773,8086,1/3/2004,Picador USA,2004
Vineland,Thomas Pynchon,3.69,en-US,385,702,9/1/1997,Penguin Classics,1997
Gravity's Rainbow,Thomas Pynchon,4.01,eng,776,29764,10/31/2006,Penguin Books,2006
Slow Learner: Early Stories,Thomas Pynchon,3.5,eng,193,334,4/30/1985,Back Bay Books,1985
Been Down So Long It Looks Like Up To Me,Richard Fariña,3.8,eng,352,2473,8/29/1996,Penguin Classics,1996
The Year of Magical Thinking,Joan Didion,3.89,en-US,227,2656,10/4/2005,Knopf Publishing Group,2005
The White Album,Joan Didion,4.17,eng,222,11889,10/1/1990,Farrar Straus Giroux,1990
A Book of Common Prayer,Joan Didion,3.8,eng,272,2962,4/11/1995,Vintage International,1995
Where I Was From,Joan Didion,3.86,eng,240,2842,9/14/2004,Vintage,2004
Slouching Towards Bethlehem,Joan Didion,4.21,eng,238,26934,10/1/1990,Farrar Straus Giroux,1990
Democracy,Joan Didion,3.81,en-US,234,2070,4/25/1995,Vintage International,1995
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,4.5,eng,1122,1564,10/17/2006,Everyman's Library,2006
Play It As It Lays,Joan Didion,3.87,eng,231,23656,11/15/2005,Farrar  Straus and Giroux,2005
The New York Trilogy,Paul Auster,3.89,eng,308,43200,3/28/2006,Penguin Classics,2006
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng,203,12410,4/7/1987,Penguin Books,1987
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng,96,3672,7/7/1987,Penguin Books,1987
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng,179,2998,11/1/1986,Sun and Moon Press,1986
Pyramids of Montauk: Explorations in Consciousness,Peter Moon,3.89,eng,256,74,1/1/1995,Sky Books (NY),1995
The Brooklyn Follies,Paul Auster,3.84,eng,306,17977,10/17/2006,Picador,2006
Moon Palace,Paul Auster,3.94,eng,320,16099,4/1/1990,Penguin Books,1990
The Music of Chance,Paul Auster,3.9,en-US,217,361,12/1/1991,Penguin Books,1991
Travels in the Scriptorium,Paul Auster,3.23,eng,145,6688,1/23/2007,Henry Holt & Company,2007
Leviathan,Paul Auster,3.96,eng,275,11744,9/1/1993,Penguin Books,1993
The Red Notebook: True Stories,Paul Auster,3.77,eng,104,2390,6/17/2002,New Directions,2002
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre,1075,21,11/7/2002,Actes Sud,2002
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608,52522,12/27/2005,Penguin Books Ltd. (London),2005
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb,3.4,en-US,211,213,2/1/2006,Business Plus,2006
Collapse of Complex Societies,Joseph A. Tainter,4.15,eng,262,719,3/29/1990,Cambridge University Press,1990
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,eng,544,4762,8/7/2001,Simon  Schuster,2001
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng,272,62,1/29/2002,Ballantine Books,2002
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo,4.39,eng,576,278,9/17/1998,W. W. Norton  Company,1998
My Inventions,Nikola Tesla,4.01,eng,88,2862,5/17/2006,Filiquarian Publishing  LLC.,2006
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer,3.78,eng,542,2829,2/1/2001,Citadel,2001
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng,144,105,10/1/1994,Lerner Publications,1994
Tesla Papers,Nikola Tesla,4.13,eng,100,102,12/1/2000,Adventures Unlimited Press,2000
Boys of Summer,Julie Elizabeth Leto,3.77,eng,249,478,6/27/2006,Harlequin Blaze,2006
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas,4.03,en-US,828,1577,10/11/2004,Pragmatic Bookshelf,2004
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly,3.95,eng,112,73,6/13/2000,Cliffs Notes,2000
Lord of the Flies,William Golding,3.68,eng,6,408,10/11/2005,Listening Library (Audio),2005
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,eng,397,1693,9/12/2006,Random House,2006
We Were Not Like Other People,Ephraim Sevela,4.14,eng,216,1,1/1/1989,HarperCollins Publishers,1989
The Lovely Bones,Alice Sebold,3.81,en-GB,328,6485,6/1/2003,Picador,2003
The Lovely Bones,Alice Sebold,3.81,en-US,532,367,4/1/2004,Large Print Press,2004
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,eng,224,1371,5/13/1990,Ballantine Books,1990
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea,3.98,en-US,296,793,2/17/2005,Peachpit Press,2005
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,en-US,456,549,8/1/2006,Peachpit Press,2006
1000 Record Covers,Michael Ochs,3.85,mul,575,288,5/15/2005,Taschen,2005
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,eng,245,26381,6/13/2006,Scribner,2006
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,eng,272,62089,7/2/2004,Scribner,2004
Vice (V  #8),Jane Feather,3.51,eng,419,474,5/2/1996,Bantam,1996
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,eng,540,166046,4/25/2006,HarperTorch,2006
Once Upon a Cool Motorcycle Dude,Kevin O'Malley,4.08,eng,32,1773,4/1/2005,Walker & Company,2005
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto,3.72,en-GB,408,286,11/19/1990,William Morrow Paperbacks,1990
Motorcycle Basics Techbook,John Harold Haynes,3.85,eng,222,40,7/5/2002,Haynes Manuals N. America  Inc.,2002
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel,3.93,eng,191,27,9/1/2004,Rockport Publishers,2004
The Death of Ivan Ilych And Other Stories,Leo Tolstoy,4.11,eng,304,7300,4/1/2003,Signet Classics,2003
War and Peace,Leo Tolstoy,4.11,eng,1392,211671,6/25/1998,Oxford University Press,1998
The Kingdom of God Is Within You,Leo Tolstoy,4.13,eng,352,2403,9/8/2006,Dover Publications,2006
Atlas Shrugged,Ayn Rand,3.69,eng,1168,322483,8/1/1999,Plume,1999
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,eng,224,2750,12/1/1963,Signet Book,1963
The Fountainhead,Ayn Rand,3.87,en-US,752,1886,4/26/2005,Dutton,2005
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand,3.51,eng,176,11462,11/1/1964,Signet,1964
Anthem,Ayn Rand,3.63,eng,105,110952,12/1/1999,NAL,1999
We the Living,Ayn Rand,3.91,eng,464,23199,1/1/1996,Signet,1996
Capitalism: The Unknown Ideal,Ayn Rand,3.88,eng,340,3501,7/15/1986,Signet,1986
Letters of Ayn Rand,Ayn Rand,3.96,eng,681,18,2/1/1997,NAL,1997
Sailing for Dummies,J.J. Isler,3.95,eng,416,150,6/1/2006,For Dummies,2006
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,eng,368,646,7/25/2006,Delacorte Press,2006
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,eng,192,12180,9/17/2002,Random House Trade Paperbacks,2002
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,eng,286,51,4/1/2004,Lyons Press,2004
